,0,1
0,Ё,0
1,А,1
2,Р,2
3,Е,3
4,Ч,4
5,Л,5
6,Ц,6
7,С,7
8,Й,8
9,З,9
10,Ь,10
11,Я,11
12,Б,12
13,Щ,13
14,У,14
15,Ы,15
16,Д,16
17,Ф,17
18,Т,18
19,Ъ,19
20,О,20
21,М,21
22,П,22
23,Х,23
24,Э,24
25,Н,25
26,В,26
27,Ю,27
28,Ш,28
29,Ж,29
30,Г,30
31,К,31
32,И,32
33,козел,33
34,гнездо,34
35,вой,35
36,креветка,36
37,бегемот,37
38,нашествие,38
39,лиса,39
40,динозавр,40
41,перо,41
42,крокодил,42
43,летучая мышь,43
44,дикое животное,44
45,попугай,45
46,ежик,46
47,волк,47
48,овца,48
49,петух,49
50,белка,50
51,пингвин,51
52,помесь,52
53,осел,53
54,дятел,54
55,воротник,55
56,аллигатор,56
57,кошка,57
58,рога,58
59,лошадь,59
60,жираф,60
61,вол,61
62,населять,62
63,верблюд,63
64,коза,64
65,ползанье,65
66,бабочка,66
67,клюв,67
68,собака,68
69,кролик,69
70,паук,70
71,водоплавающее,71
72,носорог,72
73,мышь,73
74,зверь,74
75,плавник,75
76,паучья сеть,76
77,животное,77
78,лев,78
79,тигр,79
80,миграция,80
81,копыто,81
82,зубы,82
83,коготь,83
84,рыба,84
85,лось,85
86,пчела,86
87,птица,87
88,комар,88
89,змея,89
90,гавканье,90
91,бык,91
92,зоопарк,92
93,клевать,93
94,акула,94
95,рычать,95
96,панда,96
97,крыса,97
98,олень,98
99,делать выводы,99
100,орел,100
101,лебедь,101
102,рычание,102
103,медведь,103
104,слон,104
105,дельфин,105
106,павлин,106
107,вилять,107
108,собачий домик,108
109,домашнее животное,109
110,курица,110
111,медуза,111
112,клетка,112
113,свинья,113
114,лягушка,114
115,голова,115
116,корм для домашних животных,116
117,корова,117
118,обезьяна,118
119,соты,119
120,крыло,120
121,заяц,121
122,прирученный,122
123,поверхностный,123
124,интеллектуальный,124
125,застенчивый,125
126,добрый,126
127,истерик,127
128,аниматор,128
129,кротость,129
130,адаптивный,130
131,амбициозный,131
132,проныра,132
133,скучный,133
134,гордый,134
135,одаренный,135
136,прагматичный,136
